time,original,filtered
0.229000,-0.166511,-0.282626
0.230000,0.000000,0.000000
0.231000,0.166511,0.282626
0.232000,-0.293893,0.539289
0.233000,-1.102910,0.744215
0.234000,-1.426585,0.875240
0.235000,-1.000000,0.918888
0.236000,-0.475528,0.872588
0.237000,-0.515124,0.742576
0.238000,-0.881678,0.540928
0.239000,-0.784545,0.285278
0.240000,-0.000000,-0.000000
0.241000,0.784545,-0.285278
0.242000,0.881678,-0.540928
0.243000,0.515124,-0.742576
0.244000,0.475528,-0.872588
0.245000,1.000000,-0.918888
0.246000,1.426585,-0.875240
0.247000,1.102910,-0.744215
0.248000,0.293893,-0.539289
0.249000,-0.166511,-0.282626
0.250000,0.000000,-0.000000
0.251000,0.166511,0.282626
0.252000,-0.293893,0.539289
0.253000,-1.102910,0.744215
0.254000,-1.426585,0.875240
0.255000,-1.000000,0.918888
0.256000,-0.475528,0.872588
0.257000,-0.515124,0.742576
0.258000,-0.881678,0.540928
0.259000,-0.784545,0.285278
0.260000,0.000000,-0.000000
0.261000,0.784545,-0.285278
0.262000,0.881678,-0.540928
0.263000,0.515124,-0.742576
0.264000,0.475528,-0.872588
0.265000,1.000000,-0.918888
0.266000,1.426585,-0.875240
0.267000,1.102910,-0.744215
0.268000,0.293893,-0.539289
0.269000,-0.166511,-0.282626
0.270000,0.000000,0.000000
0.271000,0.166511,0.282626
0.272000,-0.293893,0.539289
0.273000,-1.102910,0.744215
0.274000,-1.426585,0.875240
0.275000,-1.000000,0.918888
0.276000,-0.475528,0.872588
0.277000,-0.515124,0.742576
0.278000,-0.881678,0.540928
0.279000,-0.784545,0.285278
0.280000,0.000000,-0.000000
0.281000,0.784545,-0.285278
0.282000,0.881678,-0.540928
0.283000,0.515124,-0.742576
0.284000,0.475528,-0.872588
0.285000,1.000000,-0.918888
0.286000,1.426585,-0.875240
0.287000,1.102910,-0.744215
0.288000,0.293893,-0.539289
0.289000,-0.166511,-0.282626
0.290000,0.000000,0.000000
0.291000,0.166511,0.282626
0.292000,-0.293893,0.539289
0.293000,-1.102910,0.744215
0.294000,-1.426585,0.875240
0.295000,-1.000000,0.918888
0.296000,-0.475528,0.872588
0.297000,-0.515124,0.742576
0.298000,-0.881678,0.540928
0.299000,-0.784545,0.285278
0.300000,0.000000,0.000000
0.301000,0.784545,-0.285278
0.302000,0.881678,-0.540928
0.303000,0.515124,-0.742576
0.304000,0.475528,-0.872588
0.305000,1.000000,-0.918888
0.306000,1.426585,-0.875240
0.307000,1.102910,-0.744215
0.308000,0.293893,-0.539289
0.309000,-0.166511,-0.282626
0.310000,0.000000,0.000000
0.311000,0.166511,0.282626
0.312000,-0.293893,0.539289
0.313000,-1.102910,0.744215
0.314000,-1.426585,0.875240
0.315000,-1.000000,0.918888
0.316000,-0.475528,0.872588
0.317000,-0.515124,0.742576
0.318000,-0.881678,0.540928
0.319000,-0.784545,0.285278
